kepid,kepoi_name,disk,system,new_system,koi_count,koi_period,koi_model_snr,koi_prad,P_thick,classifier,system_definition
4472818,K03878.01,thick,multi,single,2,70.9672087,69.3,2.84,1.0,direct,raw_confirmed_only_count_gt1
9602613,K02612.01,thin,multi,single,2,4.61225043,13.7,0.51,0.043447910517943,direct,raw_confirmed_only_count_gt1
11705004,K02199.01,thin,multi,single,2,9.03326435,18.3,1.96,0.0655641161521285,direct,raw_confirmed_only_count_gt1
9634821,K02037.02,thin,multi,single,3,5.47715718,16.7,2.17,0.0543014544230302,direct,raw_confirmed_only_count_gt1
9602613,K02612.02,thin,multi,single,2,7.57299816,10.9,0.53,0.043447910517943,direct,raw_confirmed_only_count_gt1
2715695,K03077.01,thick,multi,single,2,4.09578199,11.9,1.64,0.9989340442832546,direct,raw_confirmed_only_count_gt1
2715695,K03077.02,thick,multi,single,2,7.55842923,10.3,1.46,0.9989340442832546,direct,raw_confirmed_only_count_gt1
11360805,K02422.02,thick,multi,single,2,57.3888262,11.9,1.88,0.9980963292986124,direct,raw_confirmed_only_count_gt1
11176166,K05875.01,thin,multi,single,2,9.8788502,13.4,2.64,0.0381859633507086,direct,raw_confirmed_only_count_gt1
3559860,K03440.02,thin,multi,single,2,58.940569,9.2,2.48,0.0750313821125975,direct,raw_confirmed_only_count_gt1
4472818,K03878.02,thick,multi,single,2,15.3573445,9.6,1.42,1.0,direct,raw_confirmed_only_count_gt1
9015738,K01616.02,thin,multi,single,2,34.775371,5.7,0.67,0.052572883877067,direct,raw_confirmed_only_count_gt1
5613330,K00649.02,thin,multi,single,2,10.2090268,9.8,0.92,0.0350427810969648,direct,raw_confirmed_only_count_gt1
9828127,K04192.02,thin,multi,single,2,32.0273169,8.8,1.14,0.0950569893052076,direct,raw_confirmed_only_count_gt1
5177859,K04246.02,thin,multi,single,2,8.75630628,9.8,1.12,0.0439196026579693,direct,raw_confirmed_only_count_gt1
11074835,K02533.03,thick,multi,single,3,26.1152887,10.6,2.38,0.989683233021719,direct,raw_confirmed_only_count_gt1
