target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,population,recovery_class,canonical_action
73,K02016,8492026,thin,single,0.0677,1,K02016.01,4.30656389,4.30656389,39.8,1,K02016.01,4.30656389,4.30656389,39.8,previously_launched_no_usable_result,thin_singles,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
74,K02042,9111849,thin,single,0.0482,1,K02042.01,63.0732241,63.0732241,30.0,1,K02042.01,63.0732241,63.0732241,30.0,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
75,K02069,11360571,thin,single,0.0468,1,K02069.01,77.2550726,77.2550726,44.0,1,K02069.01,77.2550726,77.2550726,44.0,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
76,K02138,5022828,thin,single,0.0458,1,K02138.01,23.5541012,23.5541012,29.9,1,K02138.01,23.5541012,23.5541012,29.9,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
77,K02149,10617017,thin,single,0.0592,1,K02149.01,13.15140223,13.15140223,25.5,1,K02149.01,13.15140223,13.15140223,25.5,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
78,K02198,11075429,thin,single,0.0871,1,K02198.01,23.9210408,23.9210408,21.9,1,K02198.01,23.9210408,23.9210408,21.9,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
79,K02276,3458028,thin,single,0.0437,1,K02276.01,1.442592305,1.442592305,27.1,1,K02276.01,1.442592305,1.442592305,27.1,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
80,K02370,5385304,thin,single,0.0508,1,K02370.01,78.7327023,78.7327023,19.1,1,K02370.01,78.7327023,78.7327023,19.1,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
81,K02401,10336951,thin,single,0.0461,1,K02401.01,38.2292037,38.2292037,21.0,1,K02401.01,38.2292037,38.2292037,21.0,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
82,K02445,6516185,thin,single,0.2477,1,K02445.01,47.3659328,47.3659328,16.0,1,K02445.01,47.3659328,47.3659328,16.0,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
83,K02457,9753154,thin,single,0.0863,1,K02457.01,3.70429015,3.70429015,15.9,1,K02457.01,3.70429015,3.70429015,15.9,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
84,K02577,12257999,thin,single,0.0426,1,K02577.01,18.55581565,18.55581565,33.2,1,K02577.01,18.55581565,18.55581565,33.2,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
85,K02632,11337566,thin,single,0.0509,1,K02632.01,7.12815163,7.12815163,22.0,1,K02632.01,7.12815163,7.12815163,22.0,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
86,K02706,9697131,thin,single,0.08,1,K02706.01,3.09756897,3.09756897,14.6,1,K02706.01,3.09756897,3.09756897,14.6,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
87,K02728,4178606,thin,single,0.09,1,K02728.01,42.3520039,42.3520039,30.5,1,K02728.01,42.3520039,42.3520039,30.5,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
88,K02829,6197215,thin,single,0.1473,1,K02829.01,10.61345333,10.61345333,20.0,1,K02829.01,10.61345333,10.61345333,20.0,previously_launched_no_usable_result,thin_singles,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
89,K02830,9244508,thin,single,0.0916,1,K02830.01,40.5289885,40.5289885,35.3,1,K02830.01,40.5289885,40.5289885,35.3,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
90,K02914,6837283,thin,single,0.4195,1,K02914.01,21.1181653,21.1181653,26.3,1,K02914.01,21.1181653,21.1181653,26.3,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
91,K02956,8801316,thin,single,0.2373,1,K02956.01,3.93766786,3.93766786,16.8,1,K02956.01,3.93766786,3.93766786,16.8,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
92,K02984,7918652,thin,single,0.0471,1,K02984.01,11.45541896,11.45541896,15.8,1,K02984.01,11.45541896,11.45541896,15.8,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
93,K03008,9070666,thin,single,0.0587,1,K03008.01,2.99792926,2.99792926,16.0,1,K03008.01,2.99792926,2.99792926,16.0,previously_launched_no_usable_result,thin_singles,D_prior_failed_snr_lt_20,canonical_run_then_seeded_retry_and_visual_qc
94,K03125,8751796,thin,single,0.0725,1,K03125.01,4.45342418,4.45342418,16.3,1,K03125.01,4.45342418,4.45342418,16.3,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
95,K03165,9579208,thin,single,0.0476,1,K03165.01,4.11754421,4.11754421,22.1,1,K03165.01,4.11754421,4.11754421,22.1,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
96,K03190,5985713,thin,single,0.106,1,K03190.01,8.95294046,8.95294046,13.0,1,K03190.01,8.95294046,8.95294046,13.0,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
97,K03203,3122872,thin,single,0.0654,1,K03203.01,96.81647,96.81647,25.9,1,K03203.01,96.81647,96.81647,25.9,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
98,K03277,3120904,thin,single,0.182,1,K03277.01,42.9136635,42.9136635,18.2,1,K03277.01,42.9136635,42.9136635,18.2,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
