,koi_id,kic_id,npl,period,epoch,depth,duration,impact,limbdark_1,limbdark_2
111,K03425,9117416,3,3.15722086,131.69915,49.7,3.762,0.001,0.3534,0.2904
112,K03425,9117416,3,7.64370363,137.87526,70.9,2.738,0.785,0.3534,0.2904
113,K03425,9117416,3,20.034708,145.4541,124.4,6.49,0.193,0.3534,0.2904
114,K03439,4282191,1,41.7084063,153.53793,330.0,8.567,0.671,0.2947,0.3103
115,K03460,9664276,1,62.596544,185.9931,223.1,11.477,0.246,0.3747,0.2845
116,K03468,5213404,1,20.7057153,139.9803,115.9,9.678,0.922,0.4046,0.2638
117,K03486,8121328,1,19.0689513,145.7515,169.3,12.462,0.98,0.4341,0.2434
118,K03496,7517261,2,8.5433774,137.9895,75.1,6.149,0.748,0.2938,0.311
119,K03496,7517261,2,23.2385587,143.5274,161.2,8.432,0.355,0.2938,0.311
120,K03500,6058816,2,4.7482669,135.8003,35.6,4.947,0.673,0.3589,0.2891
121,K03500,6058816,2,73.7502765,188.52221,233.1,13.309,0.127,0.3589,0.2891
122,K03728,7515679,1,5.546083089,133.50348,2211.0,2.717,0.902,0.2457,0.3221
123,K03943,7679812,1,38.5763483,167.85725,282.1,19.861,0.015,0.3288,0.3024
124,K04166,4078311,1,9.84262076,134.02155,626.4,1.6018,0.234,0.4955,0.2111
125,K04189,9897364,1,64.2729088,186.7353,1213.9,12.136,0.908,0.3239,0.3029
126,K04226,9491832,1,49.564693,170.6973,113.5,8.54,0.685,0.3879,0.2821
127,K04267,7450747,1,2.20829637,131.63091,87.9,2.841,0.205,0.3589,0.2891
128,K04318,9286088,1,14.8162925,138.3761,108.2,4.973,0.857,0.3239,0.3029
129,K04341,6792908,1,10.778313,136.6142,90.7,5.256,0.591,0.2754,0.3085
130,K04363,9776794,1,18.22211768,553.06646,2318.0,2.044,0.973,0.5324,0.1828
131,K04377,4945764,1,19.8751355,148.3935,109.0,8.041,0.919,0.2544,0.3299
132,K04443,5780855,1,5.67577999,134.91027,51.2,3.554,0.91,0.274,0.3189
133,K04482,7778427,1,5.38299284,136.239,35.1,3.336,0.417,0.3239,0.3029
134,K04523,8700895,1,5.68251605,131.6745,81.2,3.479,0.0,0.4191,0.2555
135,K04747,8047428,1,92.263742,146.4247,296.9,8.605,0.273,0.3661,0.2844
136,K04773,7906892,2,8.8493948,139.786,43.8,6.928,0.819,0.3447,0.2916
